date,high,low,open,close,volume,quoteVolume,weightedAverage
2017-01-09 04:00:00,898.6729109,883.01,893.859998,890,226727.4577,253.8439051,893.1766853
2017-01-09 08:00:00,911,882.52,889.660637,906,235487.2563,263.177533,894.7848005
2017-01-09 12:00:00,911,900.5200001,906.0099996,901.0545831,142027.3817,156.6521924,906.641519
2017-01-09 16:00:00,905.0845842,890.0899921,902,894.0000014,208746.9634,233.0728059,895.6298555
2017-01-09 20:00:00,907.9888888,894.0000014,894.7,902,178885.3375,198.6168491,900.6553992
2017-01-10 00:00:00,915.8323095,902.0000358,903,908.8699995,130211.1822,142.9488843,910.8933088
2017-01-10 04:00:00,908.8699994,898,908.8699994,903.1519519,117340.669,129.8869017,903.4064828
2017-01-10 08:00:00,915,901.18,905.0000003,906.8174326,275118.9814,302.5105321,909.4525717
2017-01-10 12:00:00,912.66,902.005,906.8174326,905.7500048,100894.9439,111.132112,907.8828976
2017-01-10 16:00:00,907.9999998,904.08,906.0356815,906.15,63779.76157,70.37379256,906.2999059
2017-01-10 20:00:00,912.21672,905.5,906.5,907.1,96567.03937,106.1329627,909.8684985
2017-01-11 00:00:00,914.3334,907.1,907.9294518,914,128809.3282,141.4467223,910.6561547
2017-01-11 04:00:00,927.8281037,914,914.1667,919.1799934,434028.0673,470.9844621,921.5337282
2017-01-11 08:00:00,919.2299729,831.1,918,844,1565098.859,1807.798226,865.7486421
2017-01-11 12:00:00,844.000002,790.320679,844,799.8999993,2186106.007,2689.593648,812.8015948
2017-01-11 16:00:00,817.9999998,751,799,795,1569350.286,2013.19325,779.5328568
2017-01-11 20:00:00,805,775.0384107,793.8158662,781.811601,639148.7843,811.3812398,787.7293102
2017-01-12 00:00:00,785.398,754.999992,781.851601,779.8703306,759938.6278,988.9652166,768.4179535
2017-01-12 04:00:00,779.8703302,752.0102,779.8703302,757,326275.516,426.041662,765.8300703
2017-01-12 08:00:00,782.499,756.3659085,756.7700001,768.4999993,328058.2366,427.2252807,767.8811422
2017-01-12 12:00:00,802.8601226,766.8000027,768.4999989,797.4999995,531443.6493,677.0648246,784.9228464
2017-01-12 16:00:00,819.999,796,797,819,428909.9044,531.0134078,807.7195381
2017-01-12 20:00:00,832.8798997,798.1211111,819.99,803.6952791,703323.4163,860.5137575,817.3296594
2017-01-13 00:00:00,814.1319989,788,805.0000036,788,245862.8044,306.9384162,801.0167232
2017-01-13 04:00:00,793.16661,776.028995,788,780.688337,347690.8086,443.6483505,783.7081062
2017-01-13 08:00:00,805.8585361,780.1000022,780.688337,800.5770002,277329.0646,348.2600528,796.3275212
2017-01-13 12:00:00,821.850482,792.0000003,802.5201456,816.3094895,315208.1859,390.1823624,807.8483712
2017-01-13 16:00:00,830.592908,815.0000001,817,821.3749542,555258.5702,673.7599334,824.1193081
2017-01-13 20:00:00,830,817,821.3749542,826,268364.6771,325.6141321,824.1800667
2017-01-14 00:00:00,836.04,816.1735359,827,818.1879795,260665.0911,314.4968604,828.8320932
2017-01-14 04:00:00,827.502,816.7,818.1879795,825.105,53194.01819,64.62977945,823.0573993
2017-01-14 08:00:00,834.6999,822.453737,825.105,834.6999,99250.62437,119.6741406,829.3406065
2017-01-14 12:00:00,836,820.14,833.67,830.1,236458.8643,285.6158189,827.8913444
2017-01-14 16:00:00,832.5,823.33,830.9674948,825,59454.55017,71.88643432,827.0621674
2017-01-14 20:00:00,830.19,801.9750022,825,817.477031,401968.064,492.0847494,816.8675507
2017-01-15 00:00:00,822.7029242,812.5728178,817.477031,816,99906.23584,121.9838452,819.0120228
2017-01-15 04:00:00,818,805,816,808.6959349,141771.2485,174.6690521,811.6563686
2017-01-15 08:00:00,823.0823798,805.2344759,807.1460251,819.9908239,114846.4684,140.9896335,814.5738488
2017-01-15 12:00:00,823.498,809.66,819.999998,813.9799959,118520.715,144.9280913,817.7898013
2017-01-15 16:00:00,817.7309366,806.6529711,813.9799959,809.4400007,143066.8845,176.3933162,811.0674915
2017-01-15 20:00:00,821.7200101,807.4400007,809.4500007,818.7012449,114268.6118,140.2952469,814.4866937
2017-01-16 00:00:00,834.1568054,817.5446937,818.762,829,197030.1798,238.5768786,825.8561392
2017-01-16 04:00:00,830,823.7753903,829,828.99,61426.82744,74.2423818,827.3822304
2017-01-16 08:00:00,830.9,816,828.621,818.445,117510.4707,142.8289602,822.7356029
2017-01-16 12:00:00,828.9382148,817.5676539,818.445,828.9382148,61474.47383,74.62506224,823.7778567
2017-01-16 16:00:00,832.8914193,824.0800231,828.9141336,830.8999992,112797.9501,136.0941323,828.8230226
2017-01-16 20:00:00,834,826,830.7331087,829,93552.31347,112.7527899,829.7117396
2017-01-17 00:00:00,843.5154083,827.7597094,829,843.5154083,162655.6471,194.3611518,836.8732415
2017-01-17 04:00:00,889,843.41,843.5206261,880.000005,506807.5585,583.7607785,868.1767894
